Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Type,Accounting,Accounting Execution Ids,Notes        
"62","VUSD.L","Vanguard Funds Plc",,"LSE","Portfolio","USD","5.858","78.878","0","2022-01-09 GMT+0200","21:29:00","4.716","Buy",,,
"63","VUSD.L","Vanguard Funds Plc",,"LSE","Portfolio","USD","2.747","0","0","2022-06-30 GMT+0300","23:46:00","0","Dividend","FIFO",,
        
"64","RON=X","USD/RON",,"CCY","Portfolio","RON",,,,,,,,,,
        
"65","BRK-B","Berkshire Hathaway Inc. New",,"NYQ","Portfolio","USD",,,,,,,,,,
"66","BRK-B","Berkshire Hathaway Inc. New",,"NYQ","Portfolio","USD","2.21","279.13","0.92","2022-01-09 GMT+0200","17:46:00","4.892","Buy",,,
"67","BRK-B","Berkshire Hathaway Inc. New",,"NYQ","Portfolio","USD","2.195","268.09","1","2022-10-10 GMT+0300","17:23:00","5.102","Buy",,,
        
"68","^GSPC","S&P 500",,"SNP","Portfolio","USD",,,,,,,,,,
        
"69","TSLA","Tesla, Inc.",,"NMS","Portfolio","USD",,,,,,,,,,
"70","TSLA","Tesla, Inc.",,"NMS","Portfolio","USD","0.19","714.84","0","2022-01-09 GMT+0200","14:54:00","4.202","Buy",,,
"71","TSLA","Tesla, Inc.",,"NMS","Portfolio","USD","3","1","0","2022-08-25 GMT+0300","17:18:00","0","Split",,,
        
"72","VT","Vanguard Total World Stock Inde",,"PCX","Portfolio","USD",,,,,,,,,,
